ano,mes,dia,hora,Dia_semana,QTD_Associacao,R$_Associacao,QTD_App,R$_APP,QTD_Monitor,R$_Monitor,QTD_parquimetro,parquimetro,QTD_pdv,pdv,QTD_Total,R$_total
2017,10,19,7,3,0,0.00,11,20.00,26,58.00,5,12.00,0,0.00,42,90.00
2017,10,19,8,3,0,0.00,15,21.00,108,236.00,6,12.00,0,0.00,129,269.00
2017,10,19,9,3,0,0.00,12,14.00,125,270.00,4,8.00,0,0.00,141,292.00
2017,10,19,10,3,0,0.00,17,23.00,78,163.00,9,20.00,0,0.00,104,206.00
2017,10,19,11,3,0,0.00,26,29.00,79,162.00,5,12.00,0,0.00,110,203.00
2017,10,19,12,3,0,0.00,21,30.00,86,188.00,10,22.00,0,0.00,117,240.00
2017,10,19,13,3,0,0.00,22,32.00,140,306.00,5,10.00,0,0.00,167,348.00
2017,10,19,14,3,0,0.00,10,17.00,105,224.00,5,10.00,0,0.00,120,251.00
2017,10,19,15,3,0,0.00,17,23.00,134,282.00,5,12.00,0,0.00,156,317.00
2017,10,19,16,3,0,0.00,19,22.00,28,56.00,3,6.00,0,0.00,50,84.00
2017,10,20,7,4,0,0.00,8,13.00,39,84.00,7,14.00,0,0.00,54,111.00
2017,10,20,8,4,0,0.00,8,17.00,118,258.00,2,6.00,0,0.00,128,281.00
2017,10,20,9,4,0,0.00,18,25.00,119,262.00,1,2.00,0,0.00,138,289.00
2017,10,20,10,4,0,0.00,28,36.00,86,178.00,9,20.00,0,0.00,123,234.00
2017,10,20,11,4,0,0.00,18,25.00,83,179.00,2,4.00,0,0.00,103,208.00
2017,10,20,12,4,0,0.00,25,30.00,106,240.00,6,16.00,0,0.00,138,288.20
2017,10,20,13,4,0,0.00,23,35.00,173,375.00,8,16.00,0,0.00,204,426.00
2017,10,20,14,4,0,0.00,27,35.00,120,266.00,3,6.00,0,0.00,150,307.00
2017,10,20,15,4,0,0.00,26,30.00,105,222.00,3,6.00,0,0.00,134,258.00
2017,10,20,16,4,0,0.00,7,9.00,11,22.00,5,10.00,0,0.00,23,41.00
2017,10,21,7,5,0,0.00,6,8.00,20,48.00,3,8.00,0,0.00,29,64.00
2017,10,21,8,5,0,0.00,18,27.00,127,264.00,6,13.00,0,0.00,151,304.00
2017,10,21,9,5,0,0.00,26,36.00,181,396.00,7,20.00,0,0.00,215,454.20
2017,10,21,10,5,0,0.00,31,40.00,187,392.00,9,23.00,0,0.00,227,455.00
2017,10,21,11,5,0,0.00,20,23.00,127,256.00,12,23.00,0,0.00,159,302.00
2017,10,23,7,0,0,0.00,11,20.00,36,96.00,4,8.00,0,0.00,51,124.00
2017,10,23,8,0,0,0.00,8,13.00,114,250.00,5,14.00,0,0.00,127,277.00
2017,10,23,9,0,0,0.00,8,10.00,152,322.00,7,14.00,0,0.00,167,346.00
2017,10,23,10,0,0,0.00,25,31.00,94,198.00,5,10.00,0,0.00,124,239.00
2017,10,23,11,0,0,0.00,19,23.00,96,216.00,3,6.00,0,0.00,119,249.00
2017,10,23,12,0,0,0.00,21,28.00,105,244.00,8,18.00,0,0.00,134,290.00
2017,10,23,13,0,0,0.00,22,27.00,190,414.00,10,22.00,0,0.00,222,463.00
2017,10,23,14,0,0,0.00,30,43.00,139,316.00,5,10.00,0,0.00,174,369.00
2017,10,23,15,0,0,0.00,26,28.00,127,268.00,8,16.00,0,0.00,161,312.00
2017,10,23,16,0,0,0.00,18,19.00,17,34.00,4,8.00,0,0.00,39,61.00
2017,10,24,7,1,0,0.00,12,17.00,51,122.00,1,4.00,0,0.00,64,143.00
2017,10,24,8,1,0,0.00,12,18.00,106,228.00,3,6.00,0,0.00,122,254.00
2017,10,24,9,1,0,0.00,12,16.00,110,234.00,3,6.00,0,0.00,125,256.00
2017,10,24,10,1,0,0.00,16,21.00,69,148.00,14,28.00,0,0.00,99,197.00
2017,10,24,11,1,0,0.00,24,30.00,78,168.00,1,2.00,0,0.00,103,200.00
2017,10,24,12,1,0,0.00,18,26.00,89,188.00,8,24.00,0,0.00,115,238.00
2017,10,24,13,1,0,0.00,19,27.00,135,298.00,5,12.00,0,0.00,159,337.00
2017,10,24,14,1,0,0.00,17,28.00,102,218.00,6,18.00,0,0.00,125,264.00
2017,10,24,15,1,0,0.00,16,21.00,101,206.00,3,6.00,0,0.00,120,233.00
2017,10,24,16,1,0,0.00,19,22.00,24,48.00,3,6.00,0,0.00,46,76.00
2017,10,25,7,2,0,0.00,11,19.00,37,96.00,5,12.00,0,0.00,53,127.00
2017,10,25,8,2,0,0.00,17,24.00,93,210.00,2,4.00,0,0.00,112,238.00
2017,10,25,9,2,0,0.00,20,26.00,118,245.00,4,6.00,0,0.00,142,277.00
2017,10,25,10,2,0,0.00,17,24.00,62,130.00,4,8.00,0,0.00,83,162.00
2017,10,25,11,2,0,0.00,17,17.00,66,144.00,4,7.00,0,0.00,87,168.00
2017,10,25,12,2,0,0.00,21,29.00,94,212.00,7,14.00,0,0.00,122,255.00
2017,10,25,13,2,0,0.00,20,27.00,135,298.00,9,22.00,0,0.00,164,347.00
2017,10,25,14,2,0,0.00,18,27.00,122,260.00,6,12.00,0,0.00,146,299.00
2017,10,25,15,2,0,0.00,18,23.00,110,224.00,0,0.00,0,0.00,128,247.00
2017,10,25,16,2,0,0.00,11,12.00,9,18.00,4,8.00,0,0.00,24,38.00
2017,10,26,7,3,0,0.00,8,18.00,30,70.00,1,4.00,0,0.00,39,92.00
2017,10,26,8,3,0,0.00,6,15.00,93,210.00,0,0.00,0,0.00,99,225.00
2017,10,26,9,3,0,0.00,22,29.00,112,234.00,0,0.00,0,0.00,134,263.00
2017,10,26,10,3,0,0.00,15,17.00,69,142.00,4,8.00,0,0.00,88,167.00
2017,10,26,11,3,0,0.00,15,17.00,64,134.00,5,10.00,0,0.00,84,161.00
2017,10,26,12,3,0,0.00,12,16.00,103,230.00,9,19.00,0,0.00,124,265.00
2017,10,26,13,3,0,0.00,23,34.00,127,268.00,7,17.00,0,0.00,157,319.00
2017,10,26,14,3,0,0.00,15,21.00,120,258.00,7,14.00,0,0.00,142,293.00
2017,10,26,15,3,0,0.00,15,17.00,88,180.00,1,2.00,0,0.00,104,199.00
2017,10,26,16,3,0,0.00,9,11.00,17,34.00,0,0.00,0,0.00,26,45.00
