ano,mes,dia,hora,Dia_semana,QTD_Tags,R$_Tags
2016,9,1,16,3,199,280.9600
2016,9,1,17,3,192,276.6700
2016,9,1,18,3,69,161.0000
2016,9,2,7,4,7,14.5500
2016,9,2,8,4,77,88.5000
2016,9,2,9,4,166,169.9000
2016,9,2,10,4,250,342.4000
2016,9,2,11,4,238,332.3700
2016,9,2,12,4,177,283.5500
2016,9,2,13,4,232,343.2200
2016,9,2,14,4,245,351.1700
2016,9,2,15,4,265,355.8500
2016,9,2,16,4,224,328.7600
2016,9,2,17,4,165,251.0000
2016,9,2,18,4,72,170.0000
2016,9,3,7,5,7,18.4100
2016,9,3,8,5,80,102.8400
2016,9,3,9,5,164,171.1600
2016,9,3,10,5,220,338.6800
2016,9,3,11,5,197,266.9600
2016,9,3,12,5,71,180.0000
2016,9,5,6,0,2,9.5300
2016,9,5,7,0,4,10.7200
2016,9,5,8,0,90,86.2700
2016,9,5,9,0,172,179.2300
2016,9,5,10,0,233,359.5400
2016,9,5,11,0,233,321.1200
2016,9,5,12,0,218,330.2600
2016,9,5,13,0,263,385.5800
2016,9,5,14,0,230,362.8600
2016,9,5,15,0,245,354.1700
2016,9,5,16,0,214,297.7400
2016,9,5,17,0,179,262.7400
2016,9,5,18,0,73,194.0000
2016,9,6,6,1,1,1.1700
2016,9,6,7,1,8,18.9700
2016,9,6,8,1,86,81.1600
2016,9,6,9,1,143,145.3600
2016,9,6,10,1,247,359.4200
2016,9,6,11,1,217,323.2000
2016,9,6,12,1,187,302.7600
2016,9,6,13,1,260,350.2800
2016,9,6,14,1,248,366.1000
2016,9,6,15,1,231,317.8200
2016,9,6,16,1,258,362.7400
2016,9,6,17,1,208,264.4500
2016,9,6,18,1,70,171.0000
2016,9,8,6,3,1,3.0000
2016,9,8,7,3,10,17.4200
2016,9,8,8,3,100,104.4100
2016,9,8,9,3,161,145.7300
2016,9,8,10,3,255,387.0800
2016,9,8,11,3,224,331.9300
2016,9,8,12,3,192,311.2500
2016,9,8,13,3,252,405.9500
2016,9,8,14,3,246,412.3600
2016,9,8,15,3,233,377.7600
2016,9,8,16,3,255,369.4000
2016,9,8,17,3,207,301.5000
2016,9,8,18,3,76,210.0000
2016,9,9,6,4,1,0.6800
2016,9,9,7,4,17,25.8100
2016,9,9,8,4,101,106.6400
2016,9,9,9,4,175,181.3400
2016,9,9,10,4,249,364.0400
2016,9,9,11,4,224,352.8900
2016,9,9,12,4,191,309.3900
2016,9,9,13,4,256,384.6900
2016,9,9,14,4,256,380.1300
2016,9,9,15,4,244,363.2600
2016,9,9,16,4,243,335.4300
2016,9,9,17,4,203,292.9000
2016,9,9,18,4,82,213.0000
2016,9,10,6,5,2,8.7200
2016,9,10,7,5,6,22.1600
2016,9,10,8,5,74,86.6400
2016,9,10,9,5,174,209.9800
2016,9,10,10,5,242,355.8800
2016,9,10,11,5,234,297.4800
2016,9,10,12,5,79,207.0000
2016,9,12,6,0,2,5.8700
2016,9,12,7,0,9,17.2900
2016,9,12,8,0,99,109.9100
2016,9,12,9,0,177,194.6400
2016,9,12,10,0,250,346.3400
2016,9,12,11,0,215,342.8900
2016,9,12,12,0,197,317.7500
2016,9,12,13,0,242,360.5300
2016,9,12,14,0,251,379.2600
2016,9,12,15,0,250,377.3600
2016,9,12,16,0,247,365.8000
2016,9,12,17,0,216,311.9200
2016,9,12,18,0,80,213.0000
2016,9,13,7,1,11,22.6900
2016,9,13,8,1,104,92.9900
2016,9,13,9,1,173,158.6600
